,inputs,targets
0,get concentration insulin needed for Wife X,intent1
1,what's the right concentration for insulin to give someone,intent1
2,help me with insulin concentration,intent1
3,show me the insulin concentration,intent1
4,what should be the insulin concentration,intent1
5,calculate right amount of medicine I need calculation for K G and concentration M L K G,intent2
6,calculate right amount of medicine,intent2
7,calculate right amount of medicine for X K G and X M L K G,intent2
8,show me how to use insulin pen,intent3
9,how to set up insulin pen,intent3
10,how can I use the insulin pen,intent3
11,how insulin pen work,intent3
12,help me to set up insulin pen,intent3
13,show me video for setting up insulin pen,intent3
14,send a message to doctor Hi doctor everything went well,intent4
15,send a message to doctor I checked the how to video again and it wa really helpful,intent4
16,send a message to doctor Please let me know if I need you to meet again in the near future,intent4
17,send a message to doctor Thanks for everything,intent4
18,send a message to doctor where we can meet again,intent4
19,HI Hello,unknown
20,How are you ?,unknown
21,Hi,unknown
22,Hi there,unknown
23,Hola,unknown
24,Hello,unknown
25,Hello there,unknown
26,H Y A,unknown
27,H Y A there,unknown
28,What is my name ?,unknown
29,What do you call me ?,unknown
30,Who do you think I am ?,unknown
31,What do you think I am ?,unknown
32,Who are you talking to ?,unknown
33,What name do you call me by ?,unknown
34,Tell me my name,unknown
35,What is your name ?,unknown
36,What could I call you ?,unknown
37,What can I call you ?,unknown
38,What do your friend call you ?,unknown
39,Who are you ?,unknown
40,Tell me your name ?,unknown
