,inputs,targets
0,get concentration insulin needed for Wife X,intent1
1,what's the right concentration for insulin to give someone,intent1
2,help me with insulin concentration,intent1
3,calculate right amount of medicine . I need calculation for seventy kilograms and concentration one millilitres K G,intent2
4,calculate right amount of medicine .,intent2
5,calculate right amount of medicine for sixty kilograms and zero point one millilitres mg.,intent2
6,show me how to use insulin pen,intent3
7,how to set up insulin pen,intent3
8,how can I use the insulin pen,intent3
9,how insulin pen works,intent3
10,help me to set up insulin pen,intent3
11,send a message to doctor Hi doctor everything went well,intent4
12,send a message to doctor I checked the how to video again and it was really helpful .,intent4
13,send a message to doctor Please let me know if I need you to meet again in the near future,intent4
14,send a message to doctor Thanks for everything .,intent4
